time,id,latitude,longitude,counter
0,A020,-22.976509,-43.19902,0
0,A412260,-22.961214,-43.212467,0
0,A414440,-22.898205,-43.180534,0
36,A020,-22.976511,-43.1987,1
33,A412260,-22.962297,-43.215691,1
1,A414440,-22.895195,-43.184032,1
34,A412260,-22.963297,-43.216633,2
1,A020,-22.976538,-43.198166,2
0,A414440,-22.894947,-43.186314,2
69,A412260,-22.964344,-43.217628,3
1,A020,-22.976721,-43.197144,3
0,A414440,-22.895576,-43.186653,3
69,A412260,-22.965813,-43.218994,4
1,A414440,-22.895891,-43.186802,4
1,A020,-22.976843,-43.195766,4
34,A020,-22.976721,-43.195034,5
0,A414440,-22.895947,-43.186783,5
34,A412260,-22.971489,-43.223667,5
1,A020,-22.976391,-43.194595,6
34,A412260,-22.972937,-43.225082,6
1,A414440,-22.8967,-43.187092,6
34,A412260,-22.973772,-43.225994,7
36,A020,-22.977747,-43.191647,7
0,A414440,-22.897074,-43.18729,7
53,A020,-22.977869,-43.190887,8
16,A412260,-22.974764,-43.226643,8
1,A414440,-22.899637,-43.187485,8
27,A020,-22.978012,-43.190247,9
7,A412260,-22.975399,-43.227554,9
1,A414440,-22.90033,-43.186832,9
27,A020,-22.977434,-43.188503,10
8,A414440,-22.900354,-43.186768,10
34,A412260,-22.976189,-43.228809,10
63,A020,-22.975824,-43.187611,11
7,A412260,-22.976641,-43.229752,11
1,A414440,-22.900961,-43.186115,11
34,A412260,-22.976645,-43.229786,12
1,A414440,-22.901001,-43.186134,12
27,A020,-22.97344,-43.186012,12
7,A412260,-22.977827,-43.23304,13
30,A020,-22.970638,-43.183056,13
6,A414440,-22.901363,-43.185677,13
34,A412260,-22.981384,-43.236279,14
1,A414440,-22.901497,-43.185432,14
88,A020,-22.96471,-43.172337,14
